condition	theorem_dataset_name	file	status	model
statement_only	LADR_thm_chap_1_26	statement_only/LADR_thm_chap_1_26.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_1_26	statement_plus_proof/LADR_thm_chap_1_26.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_1_14	statement_only/LADR_thm_chap_1_14.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_1_14	statement_plus_proof/LADR_thm_chap_1_14.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_1_31	statement_only/LADR_thm_chap_1_31.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_1_31	statement_plus_proof/LADR_thm_chap_1_31.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_2_25	statement_only/LADR_thm_chap_2_25.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_2_25	statement_plus_proof/LADR_thm_chap_2_25.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_2_43	statement_only/LADR_thm_chap_2_43.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_2_43	statement_plus_proof/LADR_thm_chap_2_43.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_2_22	statement_only/LADR_thm_chap_2_22.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_2_22	statement_plus_proof/LADR_thm_chap_2_22.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_3_132	statement_only/LADR_thm_chap_3_132.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_3_132	statement_plus_proof/LADR_thm_chap_3_132.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_3_22	statement_only/LADR_thm_chap_3_22.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_3_22	statement_plus_proof/LADR_thm_chap_3_22.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_3_128	statement_only/LADR_thm_chap_3_128.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_3_128	statement_plus_proof/LADR_thm_chap_3_128.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_4_16	statement_only/LADR_thm_chap_4_16.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_4_16	statement_plus_proof/LADR_thm_chap_4_16.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_4_6	statement_only/LADR_thm_chap_4_6.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_4_6	statement_plus_proof/LADR_thm_chap_4_6.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_4_12	statement_only/LADR_thm_chap_4_12.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_4_12	statement_plus_proof/LADR_thm_chap_4_12.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_5_39	statement_only/LADR_thm_chap_5_39.lean	ok	gpt-5.4
statement_plus_proof	LADR_thm_chap_5_39	statement_plus_proof/LADR_thm_chap_5_39.lean	ok	gpt-5.4
statement_only	LADR_thm_chap_5_11	statement_only/LADR_thm_chap_5_11.lean	ok	gpt-5.4
